GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),ENVCAUSE (CODE),ENVCAUSE (DISPLAY),ENVCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2006,2006,,AFR,Africa,,,2006,2006,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,14.1 [7.5-23.4],14.11840,7.51000,23.35980,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2005,2005,,AFR,Africa,,,2005,2005,,,ZWE,Zimbabwe,,,,,BTSX,Both sexes,,,,,,,,14.0 [7.4-22.3],13.97470,7.37000,22.29400,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,,2019,2019,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,8.8 [4.9-14.5],8.79000,4.87000,14.46220,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2013,2013,,AFR,Africa,,,2013,2013,,,ZWE,Zimbabwe,,,,,FMLE,Female,,,,,,,,14.5 [8.3-23.4],14.54660,8.27000,23.42940,,,
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5558,PUBLISHED,Published,,2020,2020,,AFR,Africa,,,2020,2020,,,ZWE,Zimbabwe,,,,,,,,,,,,,,52,52.00000,,,,,
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5558,PUBLISHED,Published,,2018,2018,,AFR,Africa,,,2018,2018,,,ZWE,Zimbabwe,,,,,,,,,,,,,,55,55.00000,,,,,
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5558,PUBLISHED,Published,,2019,2019,,AFR,Africa,,,2019,2019,,,ZWE,Zimbabwe,,,,,,,,,,,,,,50,50.00000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS15-24,15-24 years of age,,BTSX,Both sexes,,,,,,,,11.5,11.46000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS15-24,15-24 years of age,,FMLE,Female,,,,,,,,6.2,6.22000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS15-24,15-24 years of age,,MLE,Male,,,,,,,,16.9,16.88000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS25-34,25-34 years of age,,BTSX,Both sexes,,,,,,,,13.5,13.50000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS25-34,25-34 years of age,,FMLE,Female,,,,,,,,7.6,7.61000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS25-34,25-34 years of age,,MLE,Male,,,,,,,,20.9,20.87000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS35-44,35-44 years of age,,BTSX,Both sexes,,,,,,,,26.9,26.88000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS35-44,35-44 years of age,,FMLE,Female,,,,,,,,20.4,20.44000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS35-44,35-44 years of age,,MLE,Male,,,,,,,,34.6,34.58000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS45-54,45-54 years,,BTSX,Both sexes,,,,,,,,48.4,48.36000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS45-54,45-54 years,,FMLE,Female,,,,,,,,25.7,25.68000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS45-54,45-54 years,,MLE,Male,,,,,,,,75,74.97000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS55-64,55-64 years,,BTSX,Both sexes,,,,,,,,51.5,51.49000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS55-64,55-64 years,,FMLE,Female,,,,,,,,24.3,24.31000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS55-64,55-64 years,,MLE,Male,,,,,,,,88.4,88.36000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS65-74,65-74 years,,BTSX,Both sexes,,,,,,,,63.1,63.08000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS65-74,65-74 years,,FMLE,Female,,,,,,,,32.3,32.34000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS65-74,65-74 years,,MLE,Male,,,,,,,,113.3,113.26000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS75-84,75-84 years,,BTSX,Both sexes,,,,,,,,88.3,88.29000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS75-84,75-84 years,,FMLE,Female,,,,,,,,53.4,53.36000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS75-84,75-84 years,,MLE,Male,,,,,,,,160.5,160.54000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS85PLUS,85+ years of age,,BTSX,Both sexes,,,,,,,,183.9,183.93000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS85PLUS,85+ years of age,,FMLE,Female,,,,,,,,105,105.03000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS85PLUS,85+ years of age,,MLE,Male,,,,,,,,450.8,450.78000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS15-29,15-29  years,,BTSX,Both sexes,,,,,,,,11.7,11.70000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS15-29,15-29  years,,FMLE,Female,,,,,,,,6.4,6.41000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS15-29,15-29  years,,MLE,Male,,,,,,,,17.4,17.41000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS15-19,15-19 years,,BTSX,Both sexes,,,,,,,,10.7,10.75000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS15-19,15-19 years,,FMLE,Female,,,,,,,,6.1,6.12000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS15-19,15-19 years,,MLE,Male,,,,,,,,15.4,15.42000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS30-49,30-49 years of age,,BTSX,Both sexes,,,,,,,,26.0,26.03000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS30-49,30-49 years of age,,FMLE,Female,,,,,,,,17.0,17.04000,,,,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2019,2019,,AFR,Africa,,WB_LMI,2019,2019,Lower-middle-income,,ZWE,Zimbabwe,,YEARS30-49,30-49 years of age,,MLE,Male,,,,,,,,37.0,37.03000,,,,,
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,PUBLISHED,Published,,2019,2019,,AFR,Africa,,,2019,2019,,,ZWE,Zimbabwe,,,,,,,,,,,,,,67,67.00000,,,,,
SDGFPALL,Women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4988,PUBLISHED,Published,,2005-2006,2005-2006,,AFR,Africa,,,2005,2006,,,ZWE,Zimbabwe,,AGE15-49,15-49 years,,FMLE,Female,,,,,,,,77.4,77.40000,,,,,Zimbabwe 2005-2006 Demographic and Health Survey
SDGFPALL,Women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4988,PUBLISHED,Published,,2010-2011,2010-2011,,AFR,Africa,,,2010,2011,,,ZWE,Zimbabwe,,AGE15-49,15-49 years,,FMLE,Female,,,,,,,,77.5,77.50000,,,,,Zimbabwe 2010-2011 Demographic and Health Survey
SDGFPALL,Women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4988,PUBLISHED,Published,,2014,2014,,AFR,Africa,,,2014,2014,,,ZWE,Zimbabwe,,AGE15-49,15-49 years,,FMLE,Female,,,,,,,,84.6,84.60000,,,,,Zimbabwe 2014 Multiple Indicator Cluster Survey
SDGFPALL,Women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4988,PUBLISHED,Published,,2015,2015,,AFR,Africa,,,2015,2015,,,ZWE,Zimbabwe,,AGE15-49,15-49 years,,FMLE,Female,,,,,,,,84.8,84.80000,,,,,Zimbabwe 2015 Demographic and Health Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2002,2002,,AFR,Africa,,,2002,2002,,,ZWE,Zimbabwe,,YEARS15-19,15-19 years,,FMLE,Female,,,,,,,,102.6,102.60000,,,,,Zimbabwe 2002 Census
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2003,2003,,AFR,Africa,,,2003,2003,,,ZWE,Zimbabwe,,YEARS15-19,15-19 years,,FMLE,Female,,,,,,,,101,101.00000,,,,,Zimbabwe 2005-2006 Demographic and Health Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,ZWE,Zimbabwe,,YEARS15-19,15-19 years,,FMLE,Female,,,,,,,,98.7,98.70000,,,,,Zimbabwe 2005-2006 Demographic and Health Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2006,2006,,AFR,Africa,,,2006,2006,,,ZWE,Zimbabwe,,YEARS15-19,15-19 years,,FMLE,Female,,,,,,,,106,106.00000,,,,,Zimbabwe 2009 Multiple Indicator Cluster Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2007,2007,,AFR,Africa,,,2007,2007,,,ZWE,Zimbabwe,,YEARS15-19,15-19 years,,FMLE,Female,,,,,,,,102.6,102.60000,,,,,Zimbabwe 2009 Multiple Indicator Cluster Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,ZWE,Zimbabwe,,YEARS15-19,15-19 years,,FMLE,Female,,,,,,,,112,112.00000,,,,,Zimbabwe 2010-2011 Demographic and Health Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2009,2009,,AFR,Africa,,,2009,2009,,,ZWE,Zimbabwe,,YEARS15-19,15-19 years,,FMLE,Female,,,,,,,,114.6,114.60000,,,,,Zimbabwe 2010-2011 Demographic and Health Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2011,2011,,AFR,Africa,,,2011,2011,,,ZWE,Zimbabwe,,YEARS15-19,15-19 years,,FMLE,Female,,,,,,,,118.8,118.80000,,,,,Zimbabwe 2014 Multiple Indicator Cluster Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2012,2012,,AFR,Africa,,,2012,2012,,,ZWE,Zimbabwe,,YEARS15-19,15-19 years,,FMLE,Female,,,,,,,,119.7,119.70000,,,,,Zimbabwe 2014 Multiple Indicator Cluster Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2013,2013,,AFR,Africa,,,2013,2013,,,ZWE,Zimbabwe,,YEARS15-19,15-19 years,,FMLE,Female,,,,,,,,120,120.00000,,,,,Zimbabwe 2014 Multiple Indicator Cluster Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2014,2014,,AFR,Africa,,,2014,2014,,,ZWE,Zimbabwe,,YEARS15-19,15-19 years,,FMLE,Female,,,,,,,,110,110.00000,,,,,Zimbabwe 2015 Demographic and Health Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2016,2016,,AFR,Africa,,,2016,2016,,,ZWE,Zimbabwe,,YEARS15-19,15-19 years,,FMLE,Female,,,,,,,,111,111.00000,,,,,Zimbabwe 2019 Multiple Indicator Cluster Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2017,2017,,AFR,Africa,,,2017,2017,,,ZWE,Zimbabwe,,YEARS15-19,15-19 years,,FMLE,Female,,,,,,,,107.9,107.90000,,,,,Zimbabwe 2019 Multiple Indicator Cluster Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,ZWE,Zimbabwe,,YEARS10-14,10-14 years of age,,FMLE,Female,,,,,,,,2.6,2.60000,,,,,Zimbabwe 2009 Multiple Indicator Cluster Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2002,2002,,AFR,Africa,,,2002,2002,,,ZWE,Zimbabwe,,YEARS10-14,10-14 years of age,,FMLE,Female,,,,,,,,3.4,3.40000,,,,,Zimbabwe 2015 Demographic and Health Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2003,2003,,AFR,Africa,,,2003,2003,,,ZWE,Zimbabwe,,YEARS10-14,10-14 years of age,,FMLE,Female,,,,,,,,1.7,1.70000,,,,,Zimbabwe 2005-2006 Demographic and Health Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,ZWE,Zimbabwe,,YEARS10-14,10-14 years of age,,FMLE,Female,,,,,,,,1.4,1.40000,,,,,Zimbabwe 2005-2006 Demographic and Health Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2005,2005,,AFR,Africa,,,2005,2005,,,ZWE,Zimbabwe,,YEARS10-14,10-14 years of age,,FMLE,Female,,,,,,,,3.1,3.10000,,,,,Zimbabwe 2015 Demographic and Health Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2006,2006,,AFR,Africa,,,2006,2006,,,ZWE,Zimbabwe,,YEARS10-14,10-14 years of age,,FMLE,Female,,,,,,,,1.2,1.20000,,,,,Zimbabwe 2009 Multiple Indicator Cluster Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2007,2007,,AFR,Africa,,,2007,2007,,,ZWE,Zimbabwe,,YEARS10-14,10-14 years of age,,FMLE,Female,,,,,,,,1,1.00000,,,,,Zimbabwe 2009 Multiple Indicator Cluster Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,ZWE,Zimbabwe,,YEARS10-14,10-14 years of age,,FMLE,Female,,,,,,,,1.9,1.90000,,,,,Zimbabwe 2010-2011 Demographic and Health Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2009,2009,,AFR,Africa,,,2009,2009,,,ZWE,Zimbabwe,,YEARS10-14,10-14 years of age,,FMLE,Female,,,,,,,,1.6,1.60000,,,,,Zimbabwe 2010-2011 Demographic and Health Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2011,2011,,AFR,Africa,,,2011,2011,,,ZWE,Zimbabwe,,YEARS10-14,10-14 years of age,,FMLE,Female,,,,,,,,1,1.00000,,,,,Zimbabwe 2014 Multiple Indicator Cluster Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2012,2012,,AFR,Africa,,,2012,2012,,,ZWE,Zimbabwe,,YEARS10-14,10-14 years of age,,FMLE,Female,,,,,,,,0.6,0.60000,,,,,Zimbabwe 2014 Multiple Indicator Cluster Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2013,2013,,AFR,Africa,,,2013,2013,,,ZWE,Zimbabwe,,YEARS10-14,10-14 years of age,,FMLE,Female,,,,,,,,1,1.00000,,,,,Zimbabwe 2015 Demographic and Health Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2014,2014,,AFR,Africa,,,2014,2014,,,ZWE,Zimbabwe,,YEARS10-14,10-14 years of age,,FMLE,Female,,,,,,,,1.7,1.70000,,,,,Zimbabwe 2015 Demographic and Health Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2016,2016,,AFR,Africa,,,2016,2016,,,ZWE,Zimbabwe,,YEARS10-14,10-14 years of age,,FMLE,Female,,,,,,,,1.2,1.20000,,,,,Zimbabwe 2019 Multiple Indicator Cluster Survey
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4669,PUBLISHED,Published,,2017,2017,,AFR,Africa,,,2017,2017,,,ZWE,Zimbabwe,,YEARS10-14,10-14 years of age,,FMLE,Female,,,,,,,,1.1,1.10000,,,,,Zimbabwe 2019 Multiple Indicator Cluster Survey
SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4671,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,ZWE,Zimbabwe,,,,,,,,,,,,,,6437391,6437391.00000,,,,,Aggregation across diseases. WHO Global Health Observatory
SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4671,PUBLISHED,Published,,2011,2011,,AFR,Africa,,,2011,2011,,,ZWE,Zimbabwe,,,,,,,,,,,,,,6472357,6472357.00000,,,,,Aggregation across diseases. WHO Global Health Observatory
SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4671,PUBLISHED,Published,,2012,2012,,AFR,Africa,,,2012,2012,,,ZWE,Zimbabwe,,,,,,,,,,,,,,6496297,6496297.00000,,,,,Aggregation across diseases. WHO Global Health Observatory
SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4671,PUBLISHED,Published,,2013,2013,,AFR,Africa,,,2013,2013,,,ZWE,Zimbabwe,,,,,,,,,,,,,,6958826,6958826.00000,,,,,Aggregation across diseases. WHO Global Health Observatory
SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4671,PUBLISHED,Published,,2014,2014,,AFR,Africa,,,2014,2014,,,ZWE,Zimbabwe,,,,,,,,,,,,,,7044667,7044667.00000,,,,,Aggregation across diseases. WHO Global Health Observatory
